 FREQUENCY(Hz)  C(KM/S) ELLIPTICITY
   3.3936       4.4193      0.81453    
   3.3813       4.4195      0.81376    
   3.3691       4.4197      0.81300    
   3.3569       4.4199      0.81224    
   3.3447       4.4201      0.81148    
   3.3325       4.4203      0.81072    
   3.3203       4.4204      0.80997    
   3.3081       4.4206      0.80921    
   3.2959       4.4208      0.80846    
   3.2837       4.4210      0.80772    
   3.2715       4.4212      0.80697    
   3.2593       4.4214      0.80623    
   3.2471       4.4216      0.80549    
   3.2349       4.4217      0.80476    
   3.2227       4.4219      0.80403    
   3.2104       4.4221      0.80330    
   3.1982       4.4223      0.80257    
   3.1860       4.4225      0.80184    
   3.1738       4.4227      0.80112    
   3.1616       4.4229      0.80040    
   3.1494       4.4230      0.79968    
   3.1372       4.4232      0.79897    
   3.1250       4.4234      0.79825    
   3.1128       4.4236      0.79754    
   3.1006       4.4238      0.79683    
   3.0884       4.4240      0.79613    
   3.0762       4.4241      0.79543    
   3.0640       4.4243      0.79473    
   3.0518       4.4245      0.79403    
   3.0396       4.4247      0.79333    
   3.0273       4.4249      0.79264    
   3.0151       4.4251      0.79195    
   3.0029       4.4252      0.79126    
   2.9907       4.4254      0.79058    
   2.9785       4.4256      0.78989    
   2.9663       4.4258      0.78921    
   2.9541       4.4260      0.78854    
   2.9419       4.4262      0.78786    
   2.9297       4.4263      0.78719    
   2.9175       4.4265      0.78652    
   2.9053       4.4267      0.78585    
   2.8931       4.4269      0.78518    
   2.8809       4.4271      0.78452    
   2.8687       4.4272      0.78385    
   2.8564       4.4274      0.78320    
   2.8442       4.4276      0.78254    
   2.8320       4.4278      0.78188    
   2.8198       4.4280      0.78123    
   2.8076       4.4282      0.78058    
   2.7954       4.4283      0.77994    
   2.7832       4.4285      0.77929    
   2.7710       4.4287      0.77865    
   2.7588       4.4289      0.77801    
   2.7466       4.4291      0.77737    
   2.7344       4.4292      0.77673    
   2.7222       4.4294      0.77610    
   2.7100       4.4296      0.77547    
   2.6978       4.4298      0.77484    
   2.6855       4.4300      0.77421    
   2.6733       4.4301      0.77359    
   2.6611       4.4303      0.77296    
   2.6489       4.4305      0.77234    
   2.6367       4.4307      0.77172    
   2.6245       4.4309      0.77111    
   2.6123       4.4310      0.77050    
   2.6001       4.4312      0.76988    
   2.5879       4.4314      0.76927    
   2.5757       4.4316      0.76867    
   2.5635       4.4318      0.76806    
   2.5513       4.4319      0.76746    
   2.5391       4.4321      0.76686    
   2.5269       4.4323      0.76626    
   2.5146       4.4325      0.76566    
   2.5024       4.4326      0.76507    
   2.4902       4.4328      0.76448    
   2.4780       4.4330      0.76389    
   2.4658       4.4332      0.76330    
   2.4536       4.4334      0.76272    
   2.4414       4.4335      0.76213    
   2.4292       4.4337      0.76155    
   2.4170       4.4339      0.76097    
   2.4048       4.4341      0.76039    
   2.3926       4.4342      0.75982    
